pathway	S10	S112	S113	S114	S11	S12	S13	S15	S161	S162	S164	S165	S166	S167	S168	S169	S16	S170	S171	S172	S173	S174	S175	S176	S177	S179	S17	S182	S187	S188	S18	S191	S194	S196	S197	S198	S19	S1	S201	S202	S203	S204	S205	S206	S207	S208	S209	S20	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S22	S23	S24	S25	S26	S27	S28	S2	S30	S34	S35	S36	S37	S3	S4	S5	S61	S62	S63	S65	S6	S7	S85	S86	S87	S88	S89	S9
ko00010	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.5	0.0	0.5	1.0	0.5	0.0	0.0	1.0	1.0	1.0	1.0	1.5	0.5	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.0	1.0	0.0	0.0	0.0	1.5	0.5	0.5	0.0	0.5	0.0	1.5
ko00020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	1.2222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.0	1.2222	0.0	0.0	0.0	0.0	1.3333	1.3333	1.3333	2.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	1.2222	0.0	0.0	0.0	1.7778	0.0	0.6667	0.0	0.6667	0.0	2.0
ko00030	0.0	0.6818	0.6818	0.6818	0.6818	0.0	0.0	0.5455	0.0	0.0	0.0	0.0	0.0	0.0	0.5455	0.5455	0.6818	0.0	0.0	0.6818	0.0	0.6818	0.0	0.0	0.0	0.0	0.0	0.5455	0.0	0.0	0.0	0.0	0.0	0.0	1.2273	0.0	0.6818	0.0	0.0	0.6818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5455	0.0	0.6818	0.0	0.0	0.0	0.5455	0.5455	0.0	0.0	0.5455	0.0	0.6818	1.2273	0.6818	0.0	0.0	1.3636	1.0909	1.0909	1.0909	1.6364	0.6818	0.0	0.0	0.0	0.0	0.5455	0.5455	0.6818	0.0	1.2273	0.0	0.0	0.0	1.9091	0.6818	0.5455	0.0	0.5455	0.0	1.6364
ko00051	0.0	0.2727	0.2727	0.2727	0.2727	0.0	0.0	0.2121	0.0	0.0	0.0	0.0	0.0	0.0	0.2121	0.2121	0.2727	0.0	0.0	0.2727	0.0	0.2727	0.0	0.0	0.0	0.0	0.0	0.2121	0.0	0.0	0.0	0.0	0.0	0.0	0.4848	0.0	0.2727	0.0	0.0	0.2727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2121	0.0	0.2727	0.0	0.0	0.0	0.2121	0.2121	0.0	0.0	0.2121	0.0	0.2727	0.4848	0.2727	0.0	0.0	0.5455	0.4242	0.4242	0.4242	0.6364	0.2727	0.0	0.0	0.0	0.0	0.2121	0.2121	0.2727	0.0	0.4848	0.0	0.0	0.0	0.7576	0.2727	0.2121	0.0	0.2121	0.0	0.6364
ko00061	0.0	1.1538	1.1538	1.1538	1.1538	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.1538	0.0	0.0	1.1538	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1538	0.0	1.1538	0.0	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.1538	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.1538	2.1538	1.1538	0.0	0.0	2.3077	2.0	2.0	2.0	3.0	1.1538	0.0	0.0	0.0	0.0	1.0	1.0	1.1538	0.0	2.1538	0.0	0.0	0.0	3.3077	1.1538	1.0	0.0	1.0	0.0	3.0
ko00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.75	0.0	0.0	1.0833	0.0	0.0	0.0	0.0	1.5	1.5	1.5	2.25	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	1.0833	0.0	0.0	0.0	1.4167	0.0	0.75	0.0	0.75	0.0	2.25
ko00130	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.55	0.25	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.25	0.0	0.0	0.0	0.55	0.55	0.0	0.0	0.55	0.0	0.25	0.8	0.25	0.0	0.0	0.5	1.1	1.1	1.1	1.65	0.25	0.0	0.0	0.0	0.0	0.55	0.55	0.25	0.0	0.8	0.0	0.0	0.0	1.05	0.25	0.55	0.0	0.55	0.0	1.65
ko00190	0.0	0.3495	0.3495	0.3495	0.3495	0.0	0.0	0.2816	0.0	0.0	0.0	0.0	0.0	0.0	0.2816	0.2816	0.3495	0.0	0.0	0.3495	0.0	0.3495	0.0	0.0	0.0	0.0	0.0	0.2816	0.0	0.0	0.0	0.0	0.0	0.0	0.6311	0.0	0.3495	0.0	0.0	0.3495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2816	0.0	0.3495	0.0	0.0	0.0	0.2816	0.2816	0.0	0.0	0.2816	0.0	0.3495	0.6311	0.3495	0.0	0.0	0.699	0.5631	0.5631	0.5631	0.8447	0.3495	0.0	0.0	0.0	0.0	0.2816	0.2816	0.3495	0.0	0.6311	0.0	0.0	0.0	0.9806	0.3495	0.2816	0.0	0.2816	0.0	0.8447
ko00230	0.0	0.4286	0.4286	0.4286	0.4286	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.4286	0.4286	0.4286	0.0	0.0	0.4286	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.8571	0.0	0.4286	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4286	0.0	0.4286	0.0	0.0	0.0	0.4286	0.4286	0.0	0.0	0.4286	0.0	0.4286	0.8571	0.4286	0.0	0.0	0.8571	0.8571	0.8571	0.8571	1.2857	0.4286	0.0	0.0	0.0	0.0	0.4286	0.4286	0.4286	0.0	0.8571	0.0	0.0	0.0	1.2857	0.4286	0.4286	0.0	0.4286	0.0	1.2857
ko00240	0.0	0.5867	0.5867	0.5867	0.5867	0.0	0.0	0.5467	0.0	0.0	0.0	0.0	0.0	0.0	0.5467	0.5467	0.5867	0.0	0.0	0.5867	0.0	0.5867	0.0	0.0	0.0	0.0	0.0	0.5467	0.0	0.0	0.0	0.0	0.0	0.0	1.1333	0.0	0.5867	0.0	0.0	0.5867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5467	0.0	0.5867	0.0	0.0	0.0	0.5467	0.5467	0.0	0.0	0.5467	0.0	0.5867	1.1333	0.5867	0.0	0.0	1.1733	1.0933	1.0933	1.0933	1.64	0.5867	0.0	0.0	0.0	0.0	0.5467	0.5467	0.5867	0.0	1.1333	0.0	0.0	0.0	1.72	0.5867	0.5467	0.0	0.5467	0.0	1.64
ko00250	0.0	0.8519	0.8519	0.8519	0.8519	0.0	0.0	0.8519	0.0	0.0	0.0	0.0	0.0	0.0	0.8519	0.8519	0.8519	0.0	0.0	0.8519	0.0	0.8519	0.0	0.0	0.0	0.0	0.0	0.8519	0.0	0.0	0.0	0.0	0.0	0.0	1.7037	0.0	0.8519	0.0	0.0	0.8519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8519	0.0	0.8519	0.0	0.0	0.0	0.8519	0.8519	0.0	0.0	0.8519	0.0	0.8519	1.7037	0.8519	0.0	0.0	1.7037	1.7037	1.7037	1.7037	2.5556	0.8519	0.0	0.0	0.0	0.0	0.8519	0.8519	0.8519	0.0	1.7037	0.0	0.0	0.0	2.5556	0.8519	0.8519	0.0	0.8519	0.0	2.5556
ko00260	0.0	0.6176	0.6176	0.6176	0.6176	0.0	0.0	0.6765	0.0	0.0	0.0	0.0	0.0	0.0	0.6765	0.6765	0.6176	0.0	0.0	0.6176	0.0	0.6176	0.0	0.0	0.0	0.0	0.0	0.6765	0.0	0.0	0.0	0.0	0.0	0.0	1.2941	0.0	0.6176	0.0	0.0	0.6176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6765	0.0	0.6176	0.0	0.0	0.0	0.6765	0.6765	0.0	0.0	0.6765	0.0	0.6176	1.2941	0.6176	0.0	0.0	1.2353	1.3529	1.3529	1.3529	2.0294	0.6176	0.0	0.0	0.0	0.0	0.6765	0.6765	0.6176	0.0	1.2941	0.0	0.0	0.0	1.9118	0.6176	0.6765	0.0	0.6765	0.0	2.0294
ko00270	0.0	0.697	0.697	0.697	0.697	0.0	0.0	0.6061	0.0	0.0	0.0	0.0	0.0	0.0	0.6061	0.6061	0.697	0.0	0.0	0.697	0.0	0.697	0.0	0.0	0.0	0.0	0.0	0.6061	0.0	0.0	0.0	0.0	0.0	0.0	1.303	0.0	0.697	0.0	0.0	0.697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6061	0.0	0.697	0.0	0.0	0.0	0.6061	0.6061	0.0	0.0	0.6061	0.0	0.697	1.303	0.697	0.0	0.0	1.3939	1.2121	1.2121	1.2121	1.8182	0.697	0.0	0.0	0.0	0.0	0.6061	0.6061	0.697	0.0	1.303	0.0	0.0	0.0	2.0	0.697	0.6061	0.0	0.6061	0.0	1.8182
ko00280	0.0	0.4483	0.4483	0.4483	0.4483	0.0	0.0	0.8276	0.0	0.0	0.0	0.0	0.0	0.0	0.8276	0.8276	0.4483	0.0	0.0	0.4483	0.0	0.4483	0.0	0.0	0.0	0.0	0.0	0.8276	0.0	0.0	0.0	0.0	0.0	0.0	1.2759	0.0	0.4483	0.0	0.0	0.4483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8276	0.0	0.4483	0.0	0.0	0.0	0.8276	0.8276	0.0	0.0	0.8276	0.0	0.4483	1.2759	0.4483	0.0	0.0	0.8966	1.6552	1.6552	1.6552	2.4828	0.4483	0.0	0.0	0.0	0.0	0.8276	0.8276	0.4483	0.0	1.2759	0.0	0.0	0.0	1.7241	0.4483	0.8276	0.0	0.8276	0.0	2.4828
ko00281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.875	0.875	0.0	0.0	0.875	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.75	1.75	1.75	2.625	0.0	0.0	0.0	0.0	0.0	0.875	0.875	0.0	0.0	1.0	0.0	0.0	0.0	1.125	0.0	0.875	0.0	0.875	0.0	2.625
ko00290	0.0	1.0909	1.0909	1.0909	1.0909	0.0	0.0	1.1818	0.0	0.0	0.0	0.0	0.0	0.0	1.1818	1.1818	1.0909	0.0	0.0	1.0909	0.0	1.0909	0.0	0.0	0.0	0.0	0.0	1.1818	0.0	0.0	0.0	0.0	0.0	0.0	2.2727	0.0	1.0909	0.0	0.0	1.0909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1818	0.0	1.0909	0.0	0.0	0.0	1.1818	1.1818	0.0	0.0	1.1818	0.0	1.0909	2.2727	1.0909	0.0	0.0	2.1818	2.3636	2.3636	2.3636	3.5455	1.0909	0.0	0.0	0.0	0.0	1.1818	1.1818	1.0909	0.0	2.2727	0.0	0.0	0.0	3.3636	1.0909	1.1818	0.0	1.1818	0.0	3.5455
ko00300	0.0	0.65	0.65	0.65	0.65	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.65	0.0	0.0	0.65	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.65	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.65	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.75	0.0	0.65	1.4	0.65	0.0	0.0	1.3	1.5	1.5	1.5	2.25	0.65	0.0	0.0	0.0	0.0	0.75	0.75	0.65	0.0	1.4	0.0	0.0	0.0	2.05	0.65	0.75	0.0	0.75	0.0	2.25
ko00310	0.0	0.1852	0.1852	0.1852	0.1852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1852	0.0	0.0	0.1852	0.0	0.1852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5926	0.0	0.1852	0.0	0.0	0.1852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1852	0.5926	0.1852	0.0	0.0	0.3704	0.0	0.0	0.0	0.0	0.1852	0.0	0.0	0.0	0.0	0.0	0.0	0.1852	0.0	0.5926	0.0	0.0	0.0	0.7778	0.1852	0.0	0.0	0.0	0.0	0.0
ko00330	0.0	0.3651	0.3651	0.3651	0.3651	0.0	0.0	0.5238	0.0	0.0	0.0	0.0	0.0	0.0	0.5238	0.5238	0.3651	0.0	0.0	0.3651	0.0	0.3651	0.0	0.0	0.0	0.0	0.0	0.5238	0.0	0.0	0.0	0.0	0.0	0.0	0.8889	0.0	0.3651	0.0	0.0	0.3651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5238	0.0	0.3651	0.0	0.0	0.0	0.5238	0.5238	0.0	0.0	0.5238	0.0	0.3651	0.8889	0.3651	0.0	0.0	0.7302	1.0476	1.0476	1.0476	1.5714	0.3651	0.0	0.0	0.0	0.0	0.5238	0.5238	0.3651	0.0	0.8889	0.0	0.0	0.0	1.254	0.3651	0.5238	0.0	0.5238	0.0	1.5714
ko00340	0.0	0.7895	0.7895	0.7895	0.7895	0.0	0.0	0.6316	0.0	0.0	0.0	0.0	0.0	0.0	0.6316	0.6316	0.7895	0.0	0.0	0.7895	0.0	0.7895	0.0	0.0	0.0	0.0	0.0	0.6316	0.0	0.0	0.0	0.0	0.0	0.0	1.4211	0.0	0.7895	0.0	0.0	0.7895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6316	0.0	0.7895	0.0	0.0	0.0	0.6316	0.6316	0.0	0.0	0.6316	0.0	0.7895	1.4211	0.7895	0.0	0.0	1.5789	1.2632	1.2632	1.2632	1.8947	0.7895	0.0	0.0	0.0	0.0	0.6316	0.6316	0.7895	0.0	1.4211	0.0	0.0	0.0	2.2105	0.7895	0.6316	0.0	0.6316	0.0	1.8947
ko00362	0.0	0.1579	0.1579	0.1579	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.0	0.0	0.1579	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3684	0.0	0.1579	0.0	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.3684	0.1579	0.0	0.0	0.3158	0.0	0.0	0.0	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.0	0.3684	0.0	0.0	0.0	0.5263	0.1579	0.0	0.0	0.0	0.0	0.0
ko00400	0.0	0.6452	0.6452	0.6452	0.6452	0.0	0.0	0.5806	0.0	0.0	0.0	0.0	0.0	0.0	0.5806	0.5806	0.6452	0.0	0.0	0.6452	0.0	0.6452	0.0	0.0	0.0	0.0	0.0	0.5806	0.0	0.0	0.0	0.0	0.0	0.0	1.2258	0.0	0.6452	0.0	0.0	0.6452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5806	0.0	0.6452	0.0	0.0	0.0	0.5806	0.5806	0.0	0.0	0.5806	0.0	0.6452	1.2258	0.6452	0.0	0.0	1.2903	1.1613	1.1613	1.1613	1.7419	0.6452	0.0	0.0	0.0	0.0	0.5806	0.5806	0.6452	0.0	1.2258	0.0	0.0	0.0	1.871	0.6452	0.5806	0.0	0.5806	0.0	1.7419
ko00440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0714	0.0714	0.0	0.0	0.0714	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.1429	0.1429	0.1429	0.2143	0.0	0.0	0.0	0.0	0.0	0.0714	0.0714	0.0	0.0	0.0714	0.0	0.0	0.0	0.0714	0.0	0.0714	0.0	0.0714	0.0	0.2143
ko00450	0.0	0.7333	0.7333	0.7333	0.7333	0.0	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.0	0.7333	0.7333	0.7333	0.0	0.0	0.7333	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.0	1.4667	0.0	0.7333	0.0	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7333	0.0	0.7333	0.0	0.0	0.0	0.7333	0.7333	0.0	0.0	0.7333	0.0	0.7333	1.4667	0.7333	0.0	0.0	1.4667	1.4667	1.4667	1.4667	2.2	0.7333	0.0	0.0	0.0	0.0	0.7333	0.7333	0.7333	0.0	1.4667	0.0	0.0	0.0	2.2	0.7333	0.7333	0.0	0.7333	0.0	2.2
ko00471	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0
ko00473	0.0	0.6667	0.6667	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.6667	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.6667	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.6667	1.3333	0.6667	0.0	0.0	1.3333	1.3333	1.3333	1.3333	2.0	0.6667	0.0	0.0	0.0	0.0	0.6667	0.6667	0.6667	0.0	1.3333	0.0	0.0	0.0	2.0	0.6667	0.6667	0.0	0.6667	0.0	2.0
ko00480	0.0	0.2632	0.2632	0.2632	0.2632	0.0	0.0	0.7368	0.0	0.0	0.0	0.0	0.0	0.0	0.7368	0.7368	0.2632	0.0	0.0	0.2632	0.0	0.2632	0.0	0.0	0.0	0.0	0.0	0.7368	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.2632	0.0	0.0	0.2632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7368	0.0	0.2632	0.0	0.0	0.0	0.7368	0.7368	0.0	0.0	0.7368	0.0	0.2632	1.0	0.2632	0.0	0.0	0.5263	1.4737	1.4737	1.4737	2.2105	0.2632	0.0	0.0	0.0	0.0	0.7368	0.7368	0.2632	0.0	1.0	0.0	0.0	0.0	1.2632	0.2632	0.7368	0.0	0.7368	0.0	2.2105
ko00500	0.0	0.3	0.3	0.3	0.3	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.175	0.3	0.0	0.0	0.3	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.475	0.0	0.3	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.0	0.3	0.0	0.0	0.0	0.175	0.175	0.0	0.0	0.175	0.0	0.3	0.475	0.3	0.0	0.0	0.6	0.35	0.35	0.35	0.525	0.3	0.0	0.0	0.0	0.0	0.175	0.175	0.3	0.0	0.475	0.0	0.0	0.0	0.775	0.3	0.175	0.0	0.175	0.0	0.525
